nodes,block_size,la,rep,cholesky,n_cholesky,eigensolver,n_eigensolver,CP2K,total_energy
1,512,dlaf-nvgpu,1,2.786,1,387.726,15,919.247,-8808.40944150530049
1,1024,dlaf-nvgpu,1,2.734,1,275.367,15,826.509,-8808.40944150529867
1,2048,dlaf-nvgpu,1,2.736,1,274.693,15,837.879,-8808.40944150530413
2,512,dlaf-nvgpu,1,4.928,1,246.697,15,557.453,-8808.40944150530595
2,1024,dlaf-nvgpu,1,4.854,1,214.954,15,542.493,-8808.40944150531141
2,2048,dlaf-nvgpu,1,,,,,,
4,512,dlaf-nvgpu,1,5.042,1,194.053,15,362.184,-8808.40944150528594
4,1024,dlaf-nvgpu,1,2.807,1,178.774,15,353.313,-8808.40944150528412
4,2048,dlaf-nvgpu,1,5.759,1,210.159,15,451.903,-8808.40944150528594
8,512,dlaf-nvgpu,1,4.695,1,167.226,15,282.545,-8808.40944150527503
8,1024,dlaf-nvgpu,1,4.740,1,166.055,15,301.988,-8808.40944150527866
8,2048,dlaf-nvgpu,1,,,,,,
1,96,elpa-nvgpu,1,7.932,1,604.634,15,1168.072,-8808.40944150530595
1,128,elpa-nvgpu,1,7.166,1,480.229,15,1002.029,-8808.40944150530049
2,96,elpa-nvgpu,1,13.334,1,469.006,15,804.237,-8808.40944150531323
2,128,elpa-nvgpu,1,13.280,1,334.478,15,643.403,-8808.40944150531141
4,96,elpa-nvgpu,1,3.692,1,332.773,15,521.162,-8808.40944150529685
4,128,elpa-nvgpu,1,3.400,1,220.061,15,382.199,-8808.40944150529140
8,96,elpa-nvgpu,1,4.993,1,200.197,15,340.116,-8808.40944150528412
8,128,elpa-nvgpu,1,4.886,1,180.434,15,293.767,-8808.40944150528230
