nodes,block_size,la,rep,cholesky,n_cholesky,eigensolver,n_eigensolver,CP2K,total_energy
1,512,dlaf-nvgpu,1,0.431,1,221.726,15,566.840,-8808.40944150529322
1,1024,dlaf-nvgpu,1,0.433,1,177.250,15,524.288,-8808.40944150529685
1,2048,dlaf-nvgpu,1,0.413,1,213.528,15,563.551,-8808.40944150529504
2,512,dlaf-nvgpu,1,0.428,1,168.106,15,434.738,-8808.40944150530231
2,1024,dlaf-nvgpu,1,0.422,1,150.306,15,413.039,-8808.40944150530413
2,2048,dlaf-nvgpu,1,0.487,1,184.324,15,445.987,-8808.40944150530777
4,512,dlaf-nvgpu,1,,,,,,
4,1024,dlaf-nvgpu,1,0.586,1,145.911,15,361.250,-8808.40944150528776
4,2048,dlaf-nvgpu,1,0.547,1,195.297,15,448.960,-8808.40944150528958
8,512,dlaf-nvgpu,1,0.399,1,136.044,15,355.531,-8808.40944150527503
8,1024,dlaf-nvgpu,1,0.467,1,137.102,15,362.951,-8808.40944150527139
8,2048,dlaf-nvgpu,1,0.443,1,178.166,15,478.171,-8808.40944150527503
1,96,elpa-nvgpu,1,4.056,1,314.483,15,765.374,-8808.40944150529140
1,128,elpa-nvgpu,1,2.913,1,228.791,15,569.208,-8808.40944150529685
2,96,elpa-nvgpu,1,2.833,1,213.954,15,537.861,-8808.40944150531141
2,128,elpa-nvgpu,1,2.591,1,186.648,15,475.454,-8808.40944150530777
4,96,elpa-nvgpu,1,2.113,1,187.563,15,451.576,-8808.40944150528958
4,128,elpa-nvgpu,1,1.916,1,149.266,15,377.780,-8808.40944150529322
8,96,elpa-nvgpu,1,2.156,1,152.014,15,401.526,-8808.40944150527866
8,128,elpa-nvgpu,1,2.053,1,173.055,15,402.981,-8808.40944150528048
