nodes,block_size,la,rep,cholesky,n_cholesky,eigensolver,n_eigensolver,CP2K,total_energy
1,512,dlaf-amdgpu,1,10.363,1,641.226,15,1468.722,-8808.40944150530413
1,1024,dlaf-amdgpu,1,10.112,1,420.440,15,1152.094,-8808.40944150530595
1,2048,dlaf-amdgpu,1,10.762,1,371.340,15,1137.855,-8808.40944150530777
2,512,dlaf-amdgpu,1,11.240,1,408.935,15,927.501,-8808.40944150528230
2,1024,dlaf-amdgpu,1,11.073,1,283.962,15,755.278,-8808.40944150528230
2,2048,dlaf-amdgpu,1,11.454,1,270.211,15,777.555,-8808.40944150528958
4,512,dlaf-amdgpu,1,11.210,1,290.873,15,706.919,-8808.40944150527685
4,1024,dlaf-amdgpu,1,11.369,1,248.585,15,631.837,-8808.40944150527685
4,2048,dlaf-amdgpu,1,18.310,1,259.057,15,699.056,-8808.40944150528048
8,512,dlaf-amdgpu,1,11.387,1,228.189,15,564.841,-8808.40944150527866
8,1024,dlaf-amdgpu,1,11.789,1,202.241,15,523.048,-8808.40944150527685
8,2048,dlaf-amdgpu,1,32.769,1,246.701,15,602.634,-8808.40944150527685

