nodes,block_size,la,rep,cholesky,n_cholesky,eigensolver,n_eigensolver,CP2K,total_energy
1,512,dlaf-amdgpu,1,10.189,1,362.097,15,818.758,-8808.40944150530777
1,1024,dlaf-amdgpu,1,10.110,1,292.652,15,771.273,-8808.40944150530777
1,2048,dlaf-amdgpu,1,10.942,1,306.470,15,861.993,-8808.40944150530413
2,512,dlaf-amdgpu,1,11.026,1,259.362,15,500.972,-8808.40944150528594
2,1024,dlaf-amdgpu,1,11.042,1,230.355,15,486.771,-8808.40944150528230
2,2048,dlaf-amdgpu,1,11.733,1,262.730,15,611.659,-8808.40944150528412
4,512,dlaf-amdgpu,1,11.056,1,207.909,15,360.019,-8808.40944150527503
4,1024,dlaf-amdgpu,1,11.231,1,208.281,15,383.074,-8808.40944150527866
4,2048,dlaf-amdgpu,1,17.981,1,247.086,15,535.807,-8808.40944150527503
8,512,dlaf-amdgpu,1,11.283,1,175.011,15,270.741,-8808.40944150527685
8,1024,dlaf-amdgpu,1,11.502,1,179.982,15,298.297,-8808.40944150527503
8,2048,dlaf-amdgpu,1,31.651,1,233.380,15,436.298,-8808.40944150527685

